Year,Unemployment Rate: Monthly: Thailand,Consumer Price Index: YoY: Monthly: Thailand,Equity Market Index: Month End: SET,Consumer Price Index,CPI: TC: Communication and Equipments,inflaton rate total ,Expect inflation ARIMA
1/1/2001,0.057,1.47492625,332.77,68.8,110.1,0.02,-0.157891685
2/1/2001,0.043,1.46842878,325.2,69.1,110.1,0.06,-0.07812881
3/1/2001,0.04,1.46842878,291.94,69.1,110.1,0,-0.28878309
4/1/2001,0.041,2.50368189,300.63,69.6,110.1,0.07,0.186090145
5/1/2001,0.042,2.64705882,310.13,69.8,110.1,0.04,-0.177208523
6/1/2001,0.024,2.20264317,322.55,69.6,110.1,-0.03,-0.078856581
7/1/2001,0.024,2.05278592,297.69,69.6,110.1,0,0.48350332
8/1/2001,0.021,1.31004367,335.57,69.6,110.1,-0.01,0.074238119
9/1/2001,0.034,1.45348837,277.04,69.8,110.1,0.03,-0.054043068
10/1/2001,0.032,1.31195335,275.09,69.5,110.1,-0.05,-0.187487747
11/1/2001,0.024,0.87336245,302.62,69.3,110.1,-0.02,0.294625315
12/1/2001,0.018,0.58224163,303.85,69.1,110.1,-0.03,0.106420087
1/1/2002,0.042,0.72674419,340.82,69.3,110.1,0.02,-0.054641685
2/1/2002,0.028,0.4341534,371.81,69.4,110.1,0.01,-0.243810293
3/1/2002,0.027,0.5788712,373.95,69.5,110.1,0.03,-0.120784055
4/1/2002,0.037,0.43103448,371.42,69.9,110.1,0.05,-0.078006739
5/1/2002,0.03,0.28653295,407.96,70,110.1,0.01,-0.179763223
6/1/2002,0.019,0.28735632,389.1,69.8,110,-0.02,0.147643076
7/1/2002,0.017,0.28735632,376.02,69.8,110,-0.01,0.296956513
8/1/2002,0.018,0.28735632,361.16,69.8,109.9,0.01,0.043409865
9/1/2002,0.02,0.42979943,331.79,70.1,109.9,0.04,-0.147580698
10/1/2002,0.026,1.29496403,357.22,70.4,109.9,0.06,-0.234675129
11/1/2002,0.015,1.2987013,364.9,70.2,109.9,-0.05,-0.212525983
12/1/2002,0.014,1.5918958,356.48,70.2,109.8,0.01,0.5274843
1/1/2003,0.034,2.16450216,370.01,70.8,109.8,0.09,0.04601866
2/1/2003,0.023,1.87319885,361.32,70.7,109.8,-0.02,-0.646599803
3/1/2003,0.029,1.72661871,364.55,70.7,109.8,0.01,0.320028487
4/1/2003,0.027,1.57367668,374.63,71,109.8,0.04,0.217842632
5/1/2003,0.027,1.85714286,403.82,71.3,109.8,0.04,-0.272637568
6/1/2003,0.021,1.71919771,461.82,71,109.8,-0.04,-0.107043578
7/1/2003,0.014,1.71919771,484.11,71,109.8,0,0.434522944
8/1/2003,0.015,2.29226361,537.71,71.4,109.8,0.05,0.057714256
9/1/2003,0.018,1.71184023,578.98,71.3,109.3,-0.01,-0.418130003
10/1/2003,0.025,1.42045455,639.45,71.4,108.4,0.01,0.14879199
11/1/2003,0.015,1.85185185,646.03,71.5,108.4,0.01,0.099335964
12/1/2003,0.015,1.85185185,772.15,71.5,108.4,0.01,-0.074273535
1/1/2004,0.037,1.41242938,698.9,71.8,108.4,0.03,-0.003332408
2/1/2004,0.024,2.26308345,716.3,72.3,108.4,0.07,-0.112470514
3/1/2004,0.024,2.54596888,647.3,72.5,108.1,0.02,-0.291080818
4/1/2004,0.028,2.53521127,648.15,72.8,108.1,0.06,0.131053948
5/1/2004,0.026,2.52454418,641.05,73.1,108.1,0.04,-0.044029149
6/1/2004,0.021,3.23943662,646.64,73.3,108.1,0.02,-0.032812515
7/1/2004,0.014,3.38028169,636.7,73.4,108.1,0.01,0.178596851
8/1/2004,0.015,3.08123249,624.59,73.6,108.1,0.05,0.122685725
9/1/2004,0.018,3.50631136,644.67,73.8,108.1,0.04,-0.186355785
10/1/2004,0.016,3.36134454,628.16,73.8,108.1,0,-0.088145557
11/1/2004,0.015,2.93706294,656.73,73.6,108.1,-0.04,0.252458582
12/1/2004,0.015,2.93706294,668.1,73.6,108.1,0,0.355642021
1/1/2005,0.033,2.50696379,701.91,73.6,108.1,0.01,-0.082201914
2/1/2005,0.023,2.35131397,741.55,74,108.1,0.06,-0.19996849
3/1/2005,0.021,3.17241379,681.49,74.8,108.1,0.08,-0.310104994
4/1/2005,0.022,3.43406593,658.88,75.3,106.3,0.08,-0.284538016
5/1/2005,0.02,3.69357045,667.55,75.8,106.3,0.06,-0.069462766
6/1/2005,0.019,3.6834925,675.5,76,106.3,0.03,0.108837803
7/1/2005,0.014,5.17711172,675.67,77.2,106.3,0.16,0.231799536
8/1/2005,0.014,5.57065217,697.85,77.7,106.3,0.07,-0.60221689
9/1/2005,0.013,5.96205962,723.23,78.2,104.9,0.07,0.036704575
10/1/2005,0.018,6.36856369,682.62,78.5,104.9,0.03,0.317962902
11/1/2005,0.012,5.8423913,667.75,77.9,104.9,-0.07,0.217470164
12/1/2005,0.014,5.70652174,713.73,77.8,101.6,-0.01,0.677664178
1/1/2006,0.022,5.97826087,762.63,78,101.6,0.02,0.016109121
2/1/2006,0.016,5.54054054,744.05,78.1,101.6,0.03,-0.375362072
3/1/2006,0.018,5.61497326,733.25,79,101.6,0.1,-0.160386165
4/1/2006,0.021,6.10889774,768.29,79.9,101.6,0.12,-0.412437544
5/1/2006,0.014,6.2005277,709.43,80.5,101.5,0.07,-0.345680463
6/1/2006,0.015,5.92105263,678.13,80.5,101.5,0,0.201223803
7/1/2006,0.011,4.53367876,691.49,80.7,101.5,0.02,0.544987553
8/1/2006,0.014,3.86100386,690.9,80.7,101.5,0.01,0.130130489
9/1/2006,0.012,2.81329923,686.1,80.4,101.5,-0.03,-0.017772719
10/1/2006,0.017,2.92993631,722.46,80.8,101.5,0.04,0.243455568
11/1/2006,0.012,3.59435173,739.06,80.7,101.4,-0.01,-0.240184447
12/1/2006,0.01,3.72750643,679.84,80.7,101.4,-0.01,0.025045125
1/1/2007,0.016,3.07692308,654.04,80.4,101.4,-0.03,0.167335172
2/1/2007,0.015,2.56081946,677.13,80.1,101.4,-0.04,0.102449373
3/1/2007,0.016,2.02531646,673.71,80.6,101.4,0.07,0.116497283
4/1/2007,0.017,1.75219024,699.16,81.3,101.4,0.1,-0.557497134
5/1/2007,0.016,1.86335404,737.4,82,101.4,0.08,-0.533517626
6/1/2007,0.014,1.86335404,776.79,82,101.3,0,0.00520335
7/1/2007,0.012,1.61090458,859.76,82,101.3,0,0.489243079
8/1/2007,0.012,0.9913259,813.21,81.5,101.3,-0.05,0.267225532
9/1/2007,0.012,1.99004975,845.5,82,101.3,0.06,0.257619106
10/1/2007,0.0141,2.35148515,907.28,82.7,101.2,0.09,-0.414968718
11/1/2007,0.011,2.9739777,846.44,83.1,101.1,0.04,-0.526095497
12/1/2007,0.0085,2.9739777,858.1,83.1,101.1,0.01,0.160657595
1/1/2008,0.0172,4.35323383,784.23,83.9,101.1,0.08,0.322489691
2/1/2008,0.0153,5.36828964,845.76,84.4,101,0.07,-0.266132669
3/1/2008,0.0152,5.33498759,817.03,84.9,101,0.06,-0.183598554
4/1/2008,0.0146,6.1500615,832.45,86.3,101,0.18,0.085795823
5/1/2008,0.0147,7.68292683,833.65,88.3,101,0.21,-0.591769903
6/1/2008,0.0116,8.65853659,768.59,89.1,100.9,0.12,-0.552533661
7/1/2008,0.013,9.14634146,676.32,89.5,100.9,0.03,0.370141692
8/1/2008,0.012,6.62576687,684.44,86.9,100.9,-0.3,0.767016043
9/1/2008,0.011,6.09756098,596.54,87,100.9,0.02,1.868820397
10/1/2008,0.012,3.8694075,416.53,85.9,100.9,-0.12,-0.572069847
11/1/2008,0.014,2.16606498,401.84,84.9,100.9,-0.12,-0.286924301
12/1/2008,0.014,0.48134777,449.96,83.5,100.9,-0.16,0.425729042
1/1/2009,0.024,-0.47675805,437.69,83.5,100.8,0,0.196533004
2/1/2009,0.019,-0.11848341,431.52,84.3,100.7,0.1,-0.714541657
3/1/2009,0.019,-0.23557126,431.5,84.7,100.7,0.05,-0.992569965
4/1/2009,0.021,-0.92699884,491.69,85.5,100.7,0.1,-0.047213627
5/1/2009,0.017,-3.39750849,560.41,85.3,100.7,-0.03,-0.102933957
6/1/2009,0.014,-3.92817059,597.48,85.6,100.7,0.04,0.506684685
7/1/2009,0.012,-4.3575419,624,85.6,100.7,0,0.02581866
8/1/2009,0.012,-1.15074799,653.25,85.9,100.7,0.04,-0.004452486
9/1/2009,0.012,-1.03448276,717.07,86.1,100.7,0.02,-0.088341855
10/1/2009,0.011,0.34924331,685.24,86.2,100.7,0.02,-0.016953924
11/1/2009,0.01,1.88457008,689.07,86.5,100.7,0.03,0.055819697
12/1/2009,0.009,3.47305389,734.54,86.4,100.7,-0.01,-0.052693435
1/1/2010,0.014,4.09580838,696.55,86.92,100.65,0.06,0.17066247
2/1/2010,0.01,3.67734282,721.37,87.4,100.64,0.056,-0.240718827
3/1/2010,0.01,3.42384888,787.98,87.6,100.64,0.023,-0.184107217
4/1/2010,0.012,2.97076023,763.51,88.04,100.63,0.05,0.177480575
5/1/2010,0.015,3.41148886,750.43,88.21,100.63,0.02,-0.042186974
6/1/2010,0.012,3.31775701,797.31,88.44,100.7,0.026,0.071852831
7/1/2010,0.009,3.46962617,855.83,88.57,100.7,0.016,0.05484401
8/1/2010,0.009,3.36437718,913.19,88.79,100.7,0.023,0.031015157
9/1/2010,0.009,3.04297329,975.3,88.72,100.7,-0.007,-0.008666981
10/1/2010,0.009,2.94663573,984.46,88.74,100.65,0.003,0.128997019
11/1/2010,0.01,2.80924855,1005.12,88.93,100.64,0.021,0.033394809
12/1/2010,0.007,3.09027778,1032.76,89.07,100.51,0.016,-0.123003738
1/1/2011,0.0098,3.03727566,964.1,89.56,100.49,0.054,-0.029365516
2/1/2011,0.007,2.88329519,987.91,89.92,100.49,0.04,-0.179718186
3/1/2011,0.0072,3.15068493,1047.48,90.36,100.48,0.049,-0.040616046
4/1/2011,0.0075,4.04361654,1093.56,91.6,100.47,0.138,-0.006116148
5/1/2011,0.0053,4.19453577,1073.83,91.91,100.44,0.034,-0.476324384
6/1/2011,0.0042,4.05924921,1041.48,92.03,100.43,0.013,0.270146267
7/1/2011,0.0052,4.0984532,1133.53,92.2,100.38,0.018,0.409823687
8/1/2011,0.0068,4.29102376,1070.05,92.6,100.38,0.043,0.033484843
9/1/2011,0.0075,4.01262399,916.21,92.28,100.35,-0.033,-0.143010251
10/1/2011,0.0056,4.19202164,974.75,92.46,100.35,0.019,0.309851178
11/1/2011,0.0082,4.19431013,995.33,92.66,100.35,0.021,-0.045528348
12/1/2011,0.0043,3.53654429,1025.32,92.22,100.34,-0.048,-0.16437828
1/1/2012,0.0081,3.37204109,1083.97,92.58,100.34,0.039,0.341550521
2/1/2012,0.0066,3.33629893,1160.9,92.92,100.31,0.037,-0.244154438
3/1/2012,0.0073,3.4417884,1196.77,93.47,100.31,0.059,-0.247701666
4/1/2012,0.0097,2.46724891,1228.49,93.86,100.31,0.042,-0.107135614
5/1/2012,0.0092,2.52420846,1141.5,94.23,100.3,0.039,0.021240507
6/1/2012,0.0067,2.56438118,1172.11,94.39,100.29,0.016,0.063755283
7/1/2012,0.0056,2.72234273,1199.3,94.71,100.29,0.035,0.124002927
8/1/2012,0.0056,2.68898488,1227.48,95.09,100.29,0.04,-0.031335
9/1/2012,0.0063,3.3810143,1298.79,95.4,100.28,0.034,-0.082483532
10/1/2012,0.0056,3.32035475,1298.87,95.53,100.29,0.013,0.014470106
11/1/2012,0.0039,2.73041226,1324.04,95.19,100.23,-0.035,0.122459647
12/1/2012,0.0048,3.62177402,1391.93,95.56,100.24,0.039,0.301968941
1/1/2013,0.0083,3.3808598,1474.2,95.71,100.19,0.016,-0.239171567
2/1/2013,0.0062,3.22858373,1541.58,95.92,100.19,0.021,-0.101565706
3/1/2013,0.0069,2.68535359,1561.06,95.98,100.19,0.007,0.039666626
4/1/2013,0.0089,2.41849563,1597.86,96.13,100.19,0.016,0.054337891
5/1/2013,0.0077,2.27103895,1562.07,96.37,100.18,0.024,-0.007349356
6/1/2013,0.0055,2.24600064,1451.9,96.51,100.18,0.015,-0.069178953
7/1/2013,0.0089,2.00612396,1423.14,96.61,100.18,0.01,0.020329047
8/1/2013,0.0081,1.58796929,1294.3,96.6,100.18,-0.001,0.049407871
9/1/2013,0.0067,1.42557652,1383.16,96.76,100.18,0.016,0.067942799
10/1/2013,0.0062,1.4550403,1442.88,96.92,100.18,0.017,-0.057003415
11/1/2013,0.0072,1.92247085,1371.13,97.02,100.18,0.009,-0.057040637
12/1/2013,0.0062,1.67434073,1298.71,97.16,100.2,0.014,0.035473769
1/1/2014,0.0094,1.93292237,1274.28,97.56,100.2,0.042,-0.004469873
2/1/2014,0.0086,1.95996664,1325.33,97.8,100.2,0.023,-0.15899744
3/1/2014,0.0088,2.10460513,1376.26,98,100.2,0.022,0.013276373
4/1/2014,0.009,2.45500884,1414.94,98.49,100.2,0.05,0.058752275
5/1/2014,0.0094,2.61492166,1415.73,98.89,100.2,0.04,-0.14114601
6/1/2014,0.0115,2.35208787,1485.75,98.78,100.2,-0.01,-0.032126481
7/1/2014,0.0097,2.16333713,1502.39,98.7,100.19,-0.008,0.281846998
8/1/2014,0.0074,2.09109731,1561.63,98.62,100.18,-0.008,0.133190962
9/1/2014,0.008,1.7465895,1585.67,98.45,100.18,-0.017,-0.008977525
10/1/2014,0.0075,1.47544366,1584.16,98.35,100.18,-0.01,0.042491301
11/1/2014,0.0055,1.25747269,1593.91,98.24,100.18,-0.012,-0.012584361
12/1/2014,0.0056,0.59695348,1497.67,97.74,100.18,-0.05,-0.013537881
1/1/2015,0.0106,-0.399754,1581.25,97.17,100.18,-0.059,0.195190309
2/1/2015,0.0082,-0.53169734,1587.01,97.28,100.18,0.012,0.152057267
3/1/2015,0.0099,-0.56122449,1505.94,97.45,100.17,0.017,-0.338520218
4/1/2015,0.0085,-1.03563814,1526.74,97.47,100.17,0.002,-0.235919694
5/1/2015,0.0093,-1.27414299,1496.05,97.63,100.16,0.017,0.059070469
6/1/2015,0.0083,-1.06296821,1504.55,97.73,100.16,0.01,-0.034543785
7/1/2015,0.01,-1.05369807,1440.12,97.66,100.16,-0.007,-0.010668485
8/1/2015,0.0097,-1.18637193,1382.41,97.45,100.16,-0.023,0.10412296
9/1/2015,0.0078,-1.06653123,1349,97.4,100.16,-0.005,0.127677769
10/1/2015,0.0085,-0.77275038,1394.94,97.59,100.15,0.02,-0.047684631
11/1/2015,0.009,-0.9771987,1359.7,97.28,100.15,-0.032,-0.182010392
12/1/2015,0.0065,-0.85942296,1288.02,96.9,100.15,-0.039,0.187638548
1/1/2016,0.0091,-0.53514459,1300.98,96.65,100.15,-0.026,0.184207616
2/1/2016,0.0087,-0.50370066,1332.37,96.79,100.15,0.015,-0.049299083
3/1/2016,0.0104,-0.46177527,1407.7,97,100.14,0.021,-0.248901587
4/1/2016,0.0104,0.0615574,1404.61,97.53,100.14,0.055,-0.152605639
5/1/2016,0.012,0.4609239,1424.28,98.08,100.14,0.056,-0.19072377
6/1/2016,0.0101,0.38882636,1444.99,98.11,100.13,0.003,-0.104935394
7/1/2016,0.0101,0.11263567,1524.07,97.77,100.13,-0.035,0.263484453
8/1/2016,0.0093,0.28732683,1548.44,97.73,100.13,-0.004,0.343079316
9/1/2016,0.0087,0.3798768,1483.21,97.77,100.13,0.004,-0.048646595
10/1/2016,0.0119,0.3381494,1495.72,97.92,100.13,0.016,-0.133519782
11/1/2016,0.0099,0.60649671,1510.24,97.87,100.11,-0.006,-0.086043545
12/1/2016,0.008,1.124871,1542.94,97.99,100.11,0.013,0.073341933
1/1/2017,0.0118,1.55199172,1577.31,98.15,100.11,0.016,-0.034032434
2/1/2017,0.0112,1.44643042,1559.56,98.19,100.1,0.004,-0.072657193
3/1/2017,0.0129,0.7628866,1575.11,97.74,100.1,-0.046,0.049441409
4/1/2017,0.0125,0.37937045,1566.32,97.9,100.1,0.016,0.283393469
5/1/2017,0.0132,-0.04078303,1561.66,98.04,100.1,0.015,-0.169702265
6/1/2017,0.0107,-0.0509632,1574.74,98.06,100.1,0.002,-0.17838434
7/1/2017,0.0124,0.16364938,1576.08,97.93,100.1,-0.013,0.066154254
8/1/2017,0.0112,0.31720045,1616.16,98.04,100.09,0.011,0.110793445
9/1/2017,0.0117,0.85915925,1673.16,98.61,100.1,0.058,-0.079715938
10/1/2017,0.0129,0.85784314,1721.37,98.76,100.09,0.016,-0.308224439
11/1/2017,0.0114,0.98089302,1697.39,98.83,100.09,0.007,0.072720899
12/1/2017,0.0096,0.77558935,1753.71,98.75,100.09,-0.008,0.166272905
1/1/2018,0.0126,0.68262863,1826.86,98.82,100.09,0.007,0.099222836
2/1/2018,0.0128,0.4175578,1830.13,98.6,100.06,-0.023,-0.034211745
3/1/2018,0.0116,0.78780438,1776.26,98.51,100.05,-0.009,0.104342254
4/1/2018,0.0106,1.07252298,1780.11,98.95,100.05,0.045,0.01408339
5/1/2018,0.0104,1.48918809,1726.97,99.5,100.04,0.056,-0.314764427
6/1/2018,0.011,1.38690598,1595.58,99.42,100.03,-0.009,-0.213795684
7/1/2018,0.0098,1.47043807,1701.79,99.37,100.03,-0.005,0.292900368
8/1/2018,0.0104,1.62178703,1721.58,99.63,100.03,0.026,0.167779685
9/1/2018,0.0097,1.32846567,1756.41,99.92,100.03,0.029,-0.169617602
10/1/2018,0.0101,1.23531794,1669.09,99.98,100.03,0.006,-0.107615921
11/1/2018,0.0095,0.94100981,1641.8,99.76,100.03,-0.022,0.104777132
12/1/2018,0.0091,0.35443038,1563.88,99.1,100.03,-0.065,0.205239099
1/1/2019,0.0102,0.26310463,1641.73,99.08,100.03,-0.002,0.293183629
2/1/2019,0.0078,0.73022312,1653.48,99.32,100.02,0.024,-0.193449405
3/1/2019,0.009,1.23845295,1638.65,99.73,100.01,0.041,-0.317297863
4/1/2019,0.0096,1.23294593,1673.52,100.17,100.01,0.044,-0.162168579
5/1/2019,0.0111,1.14572864,1620.22,100.64,100.01,0.048,-0.065571591
6/1/2019,0.0094,0.8650171,1730.34,100.28,100,-0.036,-0.029589541
7/1/2019,0.0114,0.97614974,1711.97,100.34,100,0.006,0.405426194
8/1/2019,0.01,0.52193115,1654.92,100.15,100,-0.019,0.032474452
9/1/2019,0.0102,0.3202562,1637.22,100.24,100,0.01,-1.41E-05
10/1/2019,0.0095,0.110022,1601.49,100.09,99.99,-0.016,-0.074855384
11/1/2019,0.0112,0.20048115,1590.59,99.96,99.98,-0.013,0.043169267
12/1/2019,0.0096,0.87790111,1579.84,99.97,99.98,0.001,0.057561381
1/1/2020,0.0107,1.0597497,1514.14,100.13,99.98,0.016,-0.081320788
2/1/2020,0.0109,0.73499799,1340.52,100.05,99.97,-0.008,-0.117732042
3/1/2020,0.0103,-0.54146195,1125.86,99.19,99.97,-0.086,0.074055174
7/1/2020,0.0215,-0.97667929,1328.53,99.36,99.96,-0.203,0.454950335
8/1/2020,0.0186,-0.49925112,1310.66,99.65,99.96,0.001,0.792336964
9/1/2020,0.0179,-0.69832402,1237.04,99.54,99.96,0.156,-0.68376358
10/1/2020,0.0209,-0.4995504,1194.95,99.59,99.96,0.066,-1.358909493
11/1/2020,0.02,-0.41016407,1408.31,99.55,99.96,0.029,-0.020054462
12/1/2020,0.0149,-0.27008102,1449.35,99.7,99.96,-0.011,0.441686119
1/1/2021,0.0151,-0.33955857,1466.98,99.79,98.98,0.005,0.296200916
1/2/2021,0.0176,-1.16941529,1496.78,98.88,98.9,-0.004,0.037403888
1/3/2021,0.0196,-0.08065329,1587.21,99.11,98.31,0.015,-0.00580311
1/4/2021,0.0201,3.40640115,1583.13,100.48,98.7,0.009,-0.066591468
1/5/2021,0.0176,2.43877341,1593.59,99.55,98.75,-0.091,-0.028390543
1/6/2021,0.0189,1.24620061,1587.79,99.93,98.75,0.023,0.490420993
1/7/2021,0.019,0.45289855,1521.92,99.81,98.75,0.138,-0.258256374
1/8/2021,0.02,-0.02007025,1638.75,99.63,98.7,-0.093,-0.882612504
1/9/2021,0.0225,1.6777175,1605.68,101.21,98.57,0.038,0.766369532
1/10/2021,0.019,2.379757,1623.43,101.96,98.57,-0.012,0.060253871
1/11/2021,0.017,2.71220492,1568.69,102.25,98.46,-0.018,-0.150150926
1/12/2021,0.0164,2.1664995,1657.62,101.86,98.45,0.159,0.17646503
1/1/2022,0.019,3.22677623,1648.81,103.01,99.88,0.074,-0.851860576
2/1/2022,0.014,5.27912621,1685.18,104.1,99.87,0.028,-0.117603514
3/1/2022,0.012,5.73100595,1695.24,104.79,99.87,-0.038,0.485097222
4/1/2022,0.013,4.64769108,1667.44,105.15,99.88,0.113,0.457560352
5/1/2022,0.016,7.10195881,1663.41,106.62,99.87,0.106,-0.542372615
6/1/2022,0.014,7.65535875,1568.33,107.58,99.87,0.066,-0.423332662
7/1/2022,0.013,7.61446749,1576.41,107.41,99.87,0.034,0.217271943
8/1/2022,0.0122,7.85907859,1638.93,107.46,99.87,0.14,0.276731696
9/1/2022,0.0115,6.41240984,1589.51,107.7,99.88,0.09,-0.420470634
10/1/2022,0.014,5.98273833,1608.76,108.06,99.87,-0.016,-0.077013956
11/1/2022,0.0115,5.54523227,1635.36,107.92,99.87,0.005,0.671800651
12/1/2022,0.0096,5.89043786,1668.66,107.86,99.89,0.022,0.220661758
1/1/2023,0.0122,5.0189302,1671.46,108.18,99.89,0.033,-0.14894125
2/1/2023,0.0088,3.79442843,1622.35,108.05,99.89,-0.013,-0.106935909
3/1/2023,0.0103,2.83423991,1609.17,107.76,99.89,-0.006,0.188283128
4/1/2023,0.0103,2.6723728,1529.12,107.96,99.94,0.03,0.104490736
5/1/2023,0.0128,0.53460889,1533.54,107.19,99.94,-0.012,-0.198523318
6/1/2023,0.0089,0.2323852,1503.1,107.83,100,-0.027,0.092002069
7/1/2023,0.0115,0.38171492,1556.06,107.82,100,0.019,0.199357149
8/1/2023,0.0098,0.88404988,1565.94,108.41,100,-0.071,-0.180167246
9/1/2023,0.0085,0.29712163,1471.43,108.02,100,0.06,0.294700525
10/1/2023,0.0085,-0.31464001,1381.83,107.72,100,-0.001,-0.36915563
11/1/2023,0.008,-0.43550778,1380.18,107.45,100.06,0.055,-0.103326989
12/1/2023,0.0079,-0.83441498,1415.85,106.96,100.05,-0.036,-0.091658913
1/1/2024,0.0108,-1.10926234,1364.52,106.98,100.04,-0.028,0.277762657
2/1/2024,0.0098,-0.76816289,1370.67,107.22,100.04,-0.025,0.232987963
3/1/2024,0.0098,-0.47327394,1377.94,107.25,100.04,-0.046,-0.041985398
4/1/2024,0.011,0.1852538,1367.95,108.16,100.04,0.002,-0.008097133
5/1/2024,0.0121,1.5393227,1345.66,108.84,100.03,0.022,0.023863159
